行番号	投稿時間	投稿者	メッセージ	スパチャ
209	00:36:38	にけい	ゲルドブレイムすごいしっかりしてる…	
210	00:36:51	究極ド根性ダイコン	これがどうしてあれに	
211	00:36:58	J u d a S S	おみず	
212	00:37:30	ホワイトラン衛兵	草	
213	00:37:34	リフェ	草	
214	00:37:37	mori mori	ヘモグロビンの口が悪すぎる	
215	00:37:38	J u d a S S	どこが？好き	
216	00:37:56	biggs	草	
217	00:38:48	mori mori	いいこえ	
218	00:39:42	mori mori	懸命なる読者の方々は	
219	00:40:03	motiyomogi	精霊付きか確かめようがないよね	
220	00:41:14	mori mori	この流れで皇帝になったやつをよく１で周囲の王族信頼したなと	
221	00:41:58	motiyomogi	マッチポンプかー	
222	00:43:12	motiyomogi	！？	
223	00:43:13	究極ド根性ダイコン	！？	
224	00:43:15	ホワイトラン衛兵	！？	
225	00:43:15	T.のかね	！？	
226	00:43:16	リフェ	！？	
227	00:43:16	カーマイン	！？	
228	00:43:17	にけい	オカン！？	
229	00:43:17	らうらう	！？	
230	00:43:18	ジャック・オー	！？	
231	00:43:18	竹輪	え！？	
232	00:43:21	J u d a S S	えっ…	
233	00:43:22	カギカギ	？！	
234	00:43:22	Ami Saika	え？	
235	00:44:17	seafood	えぇ…	
236	00:44:18	ジャック・オー	やばいよやばいよ	
237	00:44:20	らうらう	あかん	
238	00:44:21	J u d a S S	やめて…	
239	00:44:24	T.のかね	ひえ	
240	00:44:29	助六	ひとすくない	
241	00:44:30	motiyomogi	こわい	
242	00:44:30	カギカギ	あかん	
243	00:44:31	むむめめ	やめて	
244	00:44:38	T.のかね	！？	
245	00:44:40	らうらう	！？！？！？	
246	00:44:42	motiyomogi	！？	
247	00:44:42	カーマイン	！？	
248	00:44:44	近藤亮	！？	
249	00:44:47	ホワイトラン衛兵	!?!?	
250	00:44:48	biggs	えぇ･･･？	
251	00:44:48	竹輪	父さま！？	
252	00:44:49	究極ド根性ダイコン	衝撃の事実が津波のように…	
253	00:44:49	ジャック・オー	！？	
254	00:44:51	mori mori	ひえーっ	
255	00:44:51	J u d a S S	ややこしくなってきたぁ…	
256	00:44:55	seafood	!？	
257	00:45:00	リフェ	娘だったのか…	
258	00:45:35	らうらう	やみおちしてまう！	
259	00:45:39	カーマイン	サギ君、キレた…！	
260	00:45:53	motiyomogi	むごい	
261	00:45:59	T.のかね	うわぁ…	
262	00:46:02	カギカギ	うわあ	
263	00:46:02	カーマイン	ぐえー！	
264	00:46:04	ホワイトラン衛兵	ひどい…	
265	00:46:04	J u d a S S	つら…	
266	00:46:09	クロムア	うわぁ	
267	00:46:11	mori mori	割とポンと取れる	
268	00:46:23	mori mori	いいアクションだ	
269	00:46:29	究極ド根性ダイコン	逆賊になってしまった…	
270	00:46:42	T.のかね	なるほどね	
271	00:47:00	motiyomogi	闇オーラ	
272	00:47:02	リフェ	もしかしてサギ君も遺児なのかな？	
273	00:47:08	カーマイン	闇落ちするのが伝統なのか	
274	00:47:13	らうらう	あ	
275	00:47:19	T.のかね	あー…	
276	00:47:23	motiyomogi	ｱﾁｬｰ	
277	00:47:25	リフェ	うわー	
278	00:47:27	mori mori	あらー	
279	00:47:32	ホワイトラン衛兵	マジか	
280	00:47:34	ジャック・オー	！？	
281	00:47:38	mori mori	悲鳴が迫真すぎる	
282	00:47:43	カーマイン	まじか	
283	00:47:52	motiyomogi	衝撃の事実が津波のようにやってくる	
284	00:47:53	究極ド根性ダイコン	展開が急すぎて理解が追い付かねえ！	
285	00:48:14	motiyomogi	よわい	
286	00:48:17	ジャック・オー	よわ	
287	00:48:17	らうらう	よわい	
288	00:48:20	Snooker 2	...	
289	00:48:21	カーマイン	よわい	
290	00:48:21	T.のかね	ょゎぃ	
291	00:48:24	近藤亮	よわい	
292	00:48:25	リフェ	サギ君よわい…	
293	00:48:28	ホワイトラン衛兵	よわい	
294	00:48:28	カギカギ	やっぱり勢いだけじゃダメなのか...	
295	00:48:34	J u d a S S	儚い…	
296	00:50:26	biggs	かなしい	
297	00:50:56	motiyomogi	ギロの声だ	
298	00:50:58	ジャック・オー	ギロの声？	
299	00:50:58	究極ド根性ダイコン	この声は！？	
300	00:52:57	ジャック・オー	あのニンジャっぽいのが今のギロボディかな	
301	00:53:11	究極ド根性ダイコン	草	
302	00:53:11	T.のかね	草	
303	00:53:13	カギカギ	草	
304	00:53:14	ジャック・オー	ヘモグロビン☆	
305	00:53:14	mori mori	草	
306	00:53:15	近藤亮	草	
307	00:53:17	seafood	草	
308	00:53:17	ホワイトラン衛兵	ヘモグロビン☆…	
309	00:53:18	motiyomogi	草	
310	00:53:18	リフェ	ヘモグロビン☆	
311	00:53:21	カーマイン	草	
312	00:53:21	らうらう	wwwww	
313	00:53:21	竹輪	草	
314	00:53:25	らうらう	ダッサ・・・	
315	00:53:44	motiyomogi	精霊がマルペルシュロ？	
316	00:53:47	biggs	んんん？	
317	00:54:00	究極ド根性ダイコン	ギロ2人おる…	
318	00:54:11	mori mori	精霊付き（本物）はサギくんじゃなかった？	
319	00:54:11	にけい	大姉ちゃんがマルペルシュロだったなんて…	
320	00:54:13	ナウ	おいしい煮玉子	
321	00:54:16	リフェ	精霊が元マルペルシュロの一人だったのかな…？	
322	00:54:32	りあすて	おいしい煮玉子	
323	00:54:37	mori mori	どこからどう見ても負けイベ	
324	00:54:50	究極ド根性ダイコン	最初に強い技1回撃ってくるパターンかな	
325	00:54:52	ホワイトラン衛兵	つよい	
326	00:54:58	ジャック・オー	精霊がシュっぽいね	
327	00:55:46	motiyomogi	つよい	
328	00:55:49	リフェ	つよい	
329	00:55:50	究極ド根性ダイコン	普通に連発してくるんだ…	
330	00:56:38	カギカギ	つよい	
331	00:56:39	ジャック・オー	つよい	
332	00:56:40	J u d a S S	つよい	
333	00:56:41	近藤亮	強いなあ	
334	00:56:44	カーマイン	つよい	
335	00:56:50	mori mori	全滅進行を許してくれない	
336	00:58:24	究極ド根性ダイコン	いよいよ防具必要なんだろうか…	
337	00:58:42	motiyomogi	つよい	
338	00:58:50	むむめめ	えげつない	
339	00:58:58	Snooker 2	...	
340	00:59:05	J u d a S S	容赦なひ	
341	00:59:08	リフェ	つよすぎる…	
342	00:59:59	にけい	きっつ…	
343	01:00:03	ホワイトラン衛兵	無理ゲーすぎる	
344	01:01:14	ryo hirano	全体攻撃さえしのげればなんとかなりそう	
345	01:03:03	究極ド根性ダイコン	サダルスウドで手に入る山リンゴのクエストマグナスを大量に持つとHP増やせるとかなんとか	
346	01:03:40	ジャック・オー	闇属性が弱点らしい	
347	01:03:53	にけい	やり直すにはイベントが長すぎる…	
348	01:04:26	究極ド根性ダイコン	設定的にも意味がありそうな闇弱点	
349	01:05:36	懐疑心	個人的に1番強かったボス	
350	01:05:40	T.のかね	がんばえー	
351	01:06:17	motiyomogi	火力おかしい…	
352	01:07:34	motiyomogi	草	
353	01:07:40	リフェ	草	
354	01:07:43	カギカギ	草	
355	01:10:20	motiyomogi	ぐえー	
356	01:10:24	ホワイトラン衛兵	ぐえー	
357	01:10:33	T.のかね	つよすぎる…	
358	01:11:01	J u d a S S	運を味方につけたい…	
359	01:11:04	究極ド根性ダイコン	こっちの天盤崩落何属性なんだっけ	
360	01:14:11	懐疑心	パスボタンで捨てる時間節約できるよ	
361	01:14:15	究極ド根性ダイコン	回復はしてこなそうなのが救いかな	
362	01:14:50	ねこくーる	こんばんは	
363	01:15:39	にけい	蘇生ふやしたいかな	
364	01:16:19	山田マシュー	クエストマグナスでHP下がってない？	
365	01:16:49	らうらう	ゾーパー家は縛りがち	
366	01:17:11	motiyomogi	おみず	
367	01:17:23	ジャック・オー	攻略サイトだと大体山りんご推してるね	
368	01:17:24	カーマイン	おみず	
369	01:17:55	懐疑心	メニューボタンだったかな	
370	01:19:03	J u d a S S	おみず	
371	01:19:04	ホワイトラン衛兵	おみず	
372	01:19:21	J u d a S S	あまりに強すぎた	
373	01:20:01	究極ド根性ダイコン	ケバルライにあるって	
374	01:20:12	J u d a S S	正々堂々と強いと勝ちたくなる	
375	01:22:47	リフェ	おおー	
376	01:22:49	ホワイトラン衛兵	つよい	
377	01:22:51	ジャック・オー	山りんごつよい	
378	01:22:53	究極ド根性ダイコン	勝てそう	
379	01:22:58	motiyomogi	つよい	
380	01:23:10	山田マシュー	ワンパンで死ぬのは減りそう	
381	01:23:29	にけい	マキナってべんりだなぁ	
382	01:23:47	ジャック・オー	草	
383	01:23:52	motiyomogi	草	
384	01:23:52	リフェ	草	
385	01:24:00	近藤亮	草	
386	01:24:02	究極ド根性ダイコン	草	
387	01:24:05	カーマイン	草	
388	01:24:06	らうらう	草	
389	01:24:12	ホワイトラン衛兵	草	
390	01:24:53	究極ド根性ダイコン	山リンゴ時間経過で腐るらしいから挑む前に確認した方がいいかも	
391	01:35:08	らうらう	おいしいりんご	
392	01:36:16	ホワイトラン衛兵	おみず	
393	01:36:24	らうらう	​おみず	
394	01:37:11	ねこくーる	おいしい経験値	
395	01:37:22	ジャック・オー	経験値がおいしい玉子	
396	01:38:28	にけい	少ない・	
397	01:38:33	ジャック・オー	おいしくなかった玉子…	
398	01:38:48	リフェ	おいしい人狩り	
399	01:38:57	カーマイン	まずい煮玉子	
